,Title,Event start,Event end,Category 1,Category 2,Location,coords
2048,Wedding Ceremony,2015-03-08,2015-03-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2049,Wedding Ceremony,2015-03-08,2015-03-09,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2050,Wedding Ceremony,2015-03-08,2015-03-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2051,Wedding Ceremony,2015-03-08,2015-03-09,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
2052,Wedding Ceremony,2015-03-13,2015-03-14,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2053,Wedding Ceremony,2015-03-14,2015-03-15,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2054,Wedding Ceremony,2015-03-14,2015-03-15,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2055,Wedding Ceremony,2015-03-14,2015-03-15,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2056,Wedding Ceremony,2015-03-14,2015-03-15,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2057,Wedding Ceremony,2015-03-15,2015-03-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2058,Wedding Ceremony,2015-03-20,2015-03-21,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2059,Wedding Ceremony,2015-03-20,2015-03-21,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2060,Wedding Ceremony,2015-03-20,2015-03-21,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2061,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2062,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2063,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2064,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2065,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2066,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2067,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2068,Wedding Ceremony,2015-03-21,2015-03-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2069,Wedding Ceremony,2015-03-28,2015-03-29,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2070,Wedding Ceremony,2015-03-28,2015-03-29,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
