Title,Event start,Event end,Category 1,Category 2,Location
Childhoods End Unit Base,2015/03/17,2015/03/17,Filming - TV Series,,Princes Park
House Husbands,2015/03/23,2015/03/23,Filming - TV Series,,Bridges
Foxtel Sketch Comedy,2015/03/24,2015/03/25,Filming - TV Series,,Bridges
Utopia,2015/03/25,2015/03/25,Filming - TV Series,,Collins Street
Masterchef,2015/04/14,2015/04/14,Filming - TV Series,,Flinders Street
Winners And Losers - Season 5,2015/04/20,2015/04/20,Filming - TV Series,,"Alexandra Gardens, St Kilda Road, Southbank Promenade"
House Husbands,2015/04/20,2015/04/20,Filming - TV Series,,"Flinders Street, Queen Street"
The Beautiful Lie,2015/05/05,2015/05/05,Filming - TV Series,,"Flinders Street, Russell Street"
Winners And Losers - Season 5,2015/05/06,2015/05/06,Filming - TV Series,,"Promotional Sites, Roads / Public Access Spaces"
Tasty Road,2015/05/11,2015/05/11,Filming - TV Series,,"Bourke Street, Flinders Lane, Flinders Street, Swanston Street, Southbank Promenade, Alfred Place, Degraves Street"
Winners And Losers Season 5,2015/05/20,2015/05/20,Filming - TV Series,,"Promotional Sites, Roads / Public Access Spaces"
Please Like Me Series 3,2015/05/25,2015/05/25,Filming - TV Series,,Promotional Sites
Please Like Me Series 3,2015/05/27,2015/05/27,Filming - TV Series,,Treasury Gardens
The Beautiful Lie,2015/06/12,2015/06/12,Filming - TV Series,,Fitzroy Gardens
House Husbands,2015/06/15,2015/06/15,Filming - TV Series,,Collins Street
Grand Designs Australia,2015/06/19,2015/06/19,Filming - TV Series,,Inner Suburb Locations
Winners And Losers Season 5,2015/07/02,2015/07/02,Filming - TV Series,,Inner Suburb Locations
Winners And Losers - Season 5,2015/07/13,2015/07/13,Filming - TV Series,,All Other Spaces
Winners And Losers Season 5,2015/07/22,2015/07/22,Filming - TV Series,,Roads / Public Access Spaces
Winners And Losers - Season 5,2015/07/31,2015/07/31,Filming - TV Series,,Inner Suburb Locations
Jack Irish,2015/08/20,2015/08/20,Filming - TV Series,,Inner Suburb Locations
Hunters,2015/08/24,2015/08/24,Filming - TV Series,,Therry Street
Hunters,2015/08/31,2015/08/31,Filming - TV Series,,All Other Spaces
Luke Warm Sex,2015/09/03,2015/09/04,Filming - TV Series,,"Queensbridge Square , Evan Walker Bridge"
The Doctor Blake Mysteries,2015/09/16,2015/09/16,Filming - TV Series,,Inner Suburb Locations
Open Slather,2015/09/17,2015/09/17,Filming - TV Series,,Inner Suburb Locations
Hunters,2015/09/21,2015/09/21,Filming - TV Series,,"Little Collins Street, Spring Street"
Open Slather,2015/09/24,2015/09/24,Filming - TV Series,,Inner Suburb Locations
Jack Irish,2015/09/30,2015/09/30,Filming - TV Series,,Queen Street
The Dr Blake Mysteries,2015/10/01,2015/10/01,Filming - TV Series,,Royal Park
Hunters,2015/10/19,2015/10/19,Filming - TV Series,,Inner Suburb Locations
Hunters,2015/10/29,2015/10/29,Filming - TV Series,,"Flagstaff Gardens, Street Locations"
Hunters,2015/11/02,2015/11/04,Filming - TV Series,,"All Other Spaces, Roads / Public Access Spaces"
Australia's Got Talent,2015/11/19,2015/11/25,Filming - TV Series,,Chinatown Plaza - see notes.
Australia's Got Talent Intro,2015/11/20,2015/11/20,Filming - TV Series,,Cohen Place
Running Man Reality Tv,2015/11/23,2015/11/23,Filming - TV Series,,"Carlton Gardens, Tom's Block, St Kilda Road, Southbank Promenade, Inner Suburb Locations"
Masterchef S8,2015/12/16,2015/12/16,Filming - TV Series,,Carlton Gardens
The Recruit Series 2tv Episode 1Redbull Street Stars,2016/02/25,,Filming - TV Series Filming - TV Series,,"Alexandra Gardens, Kings Domain, All Other Spaces, Harbour Esplanade"
Redbull Street Stars,2016/03/25,2016/03/26,Filming - TV Series,,"Swanston Street, Southbank Promenade"
Ntv7 Travel With Parents,2016/04/12,2016/04/12,Filming - TV Series,,"Flinders Street, Bridges, Centre Place, Degraves Street, Hosier Lane"
The Wrong Girl,2016/04/20,2016/04/20,Filming - TV Series,,"Other Park Locations, Inner Suburb Locations, Bond Street"
The Wrong Girl,2016/04/27,2016/04/29,Filming - TV Series,,Market Street
The Wrong Girl,2016/05/03,2016/05/03,Filming - TV Series,,"Other Park Locations, Spring Street, Inner Suburb Locations, Punch Lane"
Seven Types Of Ambiguity,2016/05/09,2016/05/09,Filming - TV Series,,"Flagstaff Gardens, Little Bourke Street, William Street, Barry Lane"
Offspring Season 6,2016/05/12,2016/05/12,Filming - TV Series,,Fitzroy Gardens
Seven Types Of Ambiguity,2016/05/16,2016/05/16,Filming - TV Series,,"Bourke Street, Little Bourke Street, Crossley Street"
The Wrong Girl,2016/05/17,2016/05/20,Filming - TV Series,,Market Street
The Wrong Girl,2016/05/17,2016/05/17,Filming - TV Series,,Corrs Lane
Mazda TVC,2014/04/23,2014/04/23,Filming - TVC,,Roads / Public Access Spaces
The Wrong Girl,2016/05/25,2016/05/25,Filming - TV Series,,"Little Collins Street, Spring Street, Meyers Place (Green Laneway)"
Offspring,2016/06/01,2016/06/02,Filming - TV Series,,"Other Park Locations, Inner Suburb Locations, Other Laneways/Places/Alleys"
The Wrong Girl,2016/06/03,2016/06/03,Filming - TV Series,,Promotional Sites
The Wrong Girl,2016/06/06,2016/06/10,Filming - TV Series,,Market Street
The Wrong Girl,2016/06/07,2016/06/09,Filming - TV Series,,Collins Street
The Wrong Girl,2016/06/12,2016/06/14,Filming - TV Series,,Market Street
Fancy Boy,2016/06/22,2016/06/22,Filming - TV Series,,Other Park Locations
The Wrong Girl,2016/06/27,2016/06/27,Filming - TV Series,,"Treasury Gardens, Other Park Locations, Spring Street, Inner Suburb Locations, McIlwraith Place"
Postcards,2016/07/06,2016/07/06,Filming - TV Series,,Fitzroy Gardens
The Leftovers,2016/07/18,2016/07/19,Filming - TV Series,,Inner Suburb Locations
The Leftovers,2016/07/20,2016/07/21,Filming - TV Series,,Inner Suburb Locations
